"","sample_name","Individual_Band","Exp_Year","Adult_or_Nestling","Sex","Capture_Date","Species","Location","Site","Nest","Capture_Number","Age","Mass","Bill.Head","Flat_Wing","Current_Brood_Size","Nestling_Fate","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","Nest_Fate","avg_day6_mass","exp_treat","NCBI_host_subject_ID"
"97","P19N076","272107855","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_2","62","1","SY",20,27.6,114,NA,"","","Unit_2_62_2019","Color_Stress","Cont_Con",48,4,"Fledged",12,"Color_Stress_Cont_Con","Adult_272107855_31-May-19"
"98","P19N156","262125987","2019","Adult","M","08-Jun-19","TRES","Ithaca","Unit_1","421","1","AHY",20.25,28.3,120,NA,"","","Unit_1_421_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_262125987_08-Jun-19"
"99","P19N283","281128731","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_2","80",NA,"15",13.25,NA,NA,6,"Died","","Unit_2_80_2019","Color_Stress","Cont_Dul",70,6,"Fledged",11.6666666666667,"Color_Stress_Cont_Dul","Day_15_nestling_281128731_15"
"100","P19N360","278172451","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_4","78",NA,"12",25,26.5,56,5,"Fledged","","Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control","Day_12_nestling_278172451_12"
"101","P19N469","281128443","2019","Nestling","Unknown","25-Jun-19","TRES","Ithaca","Unit_2","54",NA,"15",15,NA,NA,6,"Fledged","","Unit_2_54_2019","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con","Day_15_nestling_281128443_15"
"102","P19N164","278172237","2019","Adult","M","09-Jun-19","TRES","Ithaca","Unit_1","335","1","AHY",20,28.8,122,NA,"","","Unit_1_335_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_278172237_09-Jun-19"
"103","P19N290","278172285","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_1","47",NA,"12",17.5,25.7,51,4,"Died","","Unit_1_47_2019","Color_Stress","Cont_Con",66,5,"Died",13.2,"Color_Stress_Cont_Con","Day_12_nestling_278172285_12"
"104","P19N375","278172461","2019","Nestling","Unknown","19-Jun-19","TRES","Ithaca","Unit_4","87",NA,"12",25.5,26.7,52,5,"Fledged","","Unit_4_87_2019","Light","Light",71,5,"Fledged",14.2,"Light_Light","Day_12_nestling_278172461_12"
"105","P19N412","281128508","2019","Nestling","Unknown","21-Jun-19","TRES","Ithaca","Unit_2","3",NA,"15",16.25,NA,NA,5,"Fledged","","Unit_2_3_2019","Color_Stress","Cont_Dul",60,5,"Fledged",12,"Color_Stress_Cont_Dul","Day_15_nestling_281128508_15"
"106","P19N476","281128532","2019","Nestling","Unknown","25-Jun-19","TRES","Ithaca","Unit_2","99",NA,"15",18.5,NA,NA,4,"Died","Fecal sample number was originally recorded 100 lower than it should have been.","Unit_2_99_2019","Color_Stress","Cont_Con",36,4,"Fledged",9,"Color_Stress_Cont_Con","Day_15_nestling_281128532_15"
"107","P19NB19",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB19"
"108","P19N133","281128711","2019","Nestling","Unknown","06-Jun-19","TRES","Ithaca","Unit_2","111",NA,"12",15.5,24.5,44.5,5,"Died","","Unit_2_111_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul","Day_12_nestling_281128711_12"
"109","P19N181","262125966","2019","Adult","M","10-Jun-19","TRES","Ithaca","Unit_1","81","1","AHY",21.5,29.2,123,NA,"","","Unit_1_81_2019","Color_Stress","Cont_Con",60,5,"Fledged",12,"Color_Stress_Cont_Con","Adult_262125966_10-Jun-19"
"110","P19N223","278171883","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_2","68",NA,"12",19.75,25.4,56,6,"Fledged","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul","Day_12_nestling_278171883_12"
"111","P19N394","278172327","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Turkey_Hill","86",NA,"12",20.25,25.1,50.5,5,"Predated","","Turkey_Hill_86_2019","Light","Light_Control",61.21,5,"Predation",12.242,"Light_Light_Control","Day_12_nestling_278172327_12"
"112","P19N425","281128677","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_1","58",NA,"12",22,25.7,54,3,"Fledged","","Unit_1_58_2019","Color_Stress","Pred_Con",48,4,"Fledged",12,"Color_Stress_Pred_Con","Day_12_nestling_281128677_12"
"113","P19N487","278172296","2019","Nestling","Unknown","26-Jun-19","TRES","Ithaca","Unit_2","14",NA,"12",23,26.5,55,3,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_14_2019","Color_Stress","Pred_Dul",40,3,"Fledged",13.3333333333333,"Color_Stress_Pred_Dul","Day_12_nestling_278172296_12"
"114","P19N107","88004754","2019","Adult","F","03-Jun-19","TRES","Ithaca","Unit_2","29","2","ASY",19.5,NA,NA,NA,"","","Unit_2_29_2019","Color_Stress","Pred_Dul",36,3,"Fledged",12,"Color_Stress_Pred_Dul","Adult_88004754_03-Jun-19"
"115","P19N197","278171873","2019","Adult","F","11-Jun-19","TRES","Ithaca","Unit_2","82","3","SY",16.25,27.4,108,NA,"","Has pox on both feet
Day 6 mass: 73g / 6 nestlings","Unit_2_82_2019","Color_Stress","Cont_Con",73,6,"Died",12.1666666666667,"Color_Stress_Cont_Con","Adult_278171873_11-Jun-19"
"116","P19N231","278172263","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","421",NA,"12",21.25,25.5,60,3,"Fledged","","Unit_1_421_2019","","Control",NA,NA,"Fledged",NA,"Control","Day_12_nestling_278172263_12"
"117","P19N337","281128809","2019","Nestling","Unknown","17-Jun-19","TRES","Ithaca","Unit_2","75",NA,"12",14.5,23.2,35,6,"Fledged","","Unit_2_75_2019","Color_Stress","Cont_Dul",74,6,"Fledged",12.3333333333333,"Color_Stress_Cont_Dul","Day_12_nestling_281128809_12"
"118","P19N402","278172474","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_4","71",NA,"12",22,25.8,55,6,"Fledged","","Unit_4_71_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control","Day_12_nestling_278172474_12"
"119","P19N502","281128775","2019","Nestling","Unknown","04-Jul-19","TRES","Ithaca","Unit_2","119",NA,"12",24.5,25.5,60,4,"Died","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_119_2019","","",57,4,"Fledged",14.25,"Control","Day_12_nestling_281128775_12"
"120","P19N002","272107786","2019","Adult","F","20-May-19","TRES","Ithaca","Unit_2","103","1","ASY",23,27.6,115.5,NA,"","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con","Adult_272107786_20-May-19"
"121","P19N115","278171896","2019","Adult","F","04-Jun-19","TRES","Ithaca","Unit_2","78","2","SY",19,NA,NA,NA,"","","Unit_2_78_2019","Color_Stress","Cont_Con",29,3,"Fledged",9.66666666666667,"Color_Stress_Cont_Con","Adult_278171896_04-Jun-19"
"122","P19N210","278172238","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_1","360","1","AHY",20,28.8,121,NA,"","","Unit_1_360_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_278172238_12-Jun-19"
"123","P19N239","281128725","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","103",NA,"15",17,NA,NA,6,"Fledged","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con","Day_15_nestling_281128725_15"
"124","P19N348","281128750","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_2","29",NA,"12",21,24.5,38.5,3,"Fledged","","Unit_2_29_2019","Color_Stress","Pred_Dul",36,3,"Fledged",12,"Color_Stress_Pred_Dul","Day_12_nestling_281128750_12"
"125","P19N438","278172486","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_4","95",NA,"12",16,23.8,39,5,"Fledged","","Unit_4_95_2019","Light","Light",54,5,"Fledged",10.8,"Light_Light","Day_12_nestling_278172486_12"
"126","L19N007c",NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","106",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_106_2019","Light","Light",48.91,5,"Fledged",9.782,"Light_Light","Day_6_nestling_Turkey_Hill_106_2019_L19N007c"
"127","P19N011","278172148","2019","Adult","F","23-May-19","TRES","Ithaca","Unit_2","93","1","SY",21.5,29.1,119,NA,"","","Unit_2_93_2019","Color_Stress","Pred_Dul",NA,NA,"Abandoned",NA,"Color_Stress_Pred_Dul","Adult_278172148_23-May-19"
"128","P19N024","240134898","2019","Adult","F","26-May-19","TRES","Ithaca","Unit_4","97","1","ASY",24.5,27.5,113,NA,"","Old PIT tag removed to put on life tag with glued new PIT tag.","Unit_4_97_2019","Light","Light",67.27,5,"Fledged",13.454,"Light_Light","Adult_240134898_26-May-19"
"129","P19N027","278172401","2019","Adult","F","27-May-19","TRES","Ithaca","Turkey_Hill","106","1","ASY",23,27.4,115,NA,"","egg photo, wing photo","Turkey_Hill_106_2019","Light","Light",48.91,5,"Fledged",9.782,"Light_Light","Adult_278172401_27-May-19"
"130","P19N255","272107855","2019","Adult","F","14-Jun-19","TRES","Ithaca","Unit_2","62","3","SY",16.5,28,113,NA,"","DAY 6: 4 CHICKS, 48g","Unit_2_62_2019","Color_Stress","Cont_Con",48,4,"Fledged",12,"Color_Stress_Cont_Con","Adult_272107855_14-Jun-19"
"131","P19N380","281128502","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_2","41",NA,"15",18.5,NA,NA,4,"Fledged","","Unit_2_41_2019","Color_Stress","Cont_Con",51,4,"Fledged",12.75,"Color_Stress_Cont_Con","Day_15_nestling_281128502_15"
"132","L19N005b",NA,"2019","Nestling",NA,"10-Jun-19","TRES","Ithaca","Unit_4","94",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control","Day_6_nestling_Unit_4_94_2019_L19N005b"
"133","P19N081","272107842","2019","Adult","F","31-May-19","TRES","Ithaca","Turkey_Hill","55","1","ASY",23,28.2,114,NA,"","","Turkey_Hill_55_2019","Light","Light",NA,NA,"Died",NA,"Light_Light","Adult_272107842_31-May-19"
"134","P19N251","281128733","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","20",NA,"12",19,26.6,56,4,"Fledged","","Unit_2_20_2019","Color_Stress","Cont_Con",47,4,"Fledged",11.75,"Color_Stress_Cont_Con","Day_12_nestling_281128733_12"
"135","P19N307","272107774","2019","Adult","M","17-Jun-19","TRES","Ithaca","Unit_2","64","1","AHY",19,27.6,118,NA,"","","Unit_2_64_2019","Color_Stress","Pred_Dul",35,6,"Died",5.83333333333333,"Color_Stress_Pred_Dul","Adult_272107774_17-Jun-19"
"136","P19N387","281128757","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_2","105",NA,"12",22.75,26.1,49,5,"Fledged","","Unit_2_105_2019","Color_Stress","Pred_Dul",48,5,"Fledged",9.6,"Color_Stress_Pred_Dul","Day_12_nestling_281128757_12"
"137","P19N462","281128771","2019","Nestling","Unknown","24-Jun-19","TRES","Ithaca","Unit_2","34",NA,"12",17.25,24.25,40,4,"Fledged","Data has not been proofed, as it was not on the proofing sheets.","Unit_2_34_2019","Color_Stress","Cont_Dul",50,4,"Fledged",12.5,"Color_Stress_Cont_Dul","Day_12_nestling_281128771_12"
"138","L19N007a",NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","106",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_106_2019","Light","Light",48.91,5,"Fledged",9.782,"Light_Light","Day_6_nestling_Turkey_Hill_106_2019_L19N007a"
"139","P19N030","278172100","2019","Adult","F","27-May-19","TRES","Ithaca","Unit_1","437","1","SY",23.5,28.6,113,NA,"","","Unit_1_437_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_278172100_27-May-19"
"140","P19N037","88004754","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","29","1","ASY",23.5,28.1,120,NA,"","","Unit_2_29_2019","Color_Stress","Pred_Dul",36,3,"Fledged",12,"Color_Stress_Pred_Dul","Adult_88004754_28-May-19"
"141","P19N315","278171877","2019","Adult","F","17-Jun-19","TRES","Ithaca","Unit_2","9","3","SY",17.5,27.4,110,NA,"","","Unit_2_9_2019","Color_Stress","Pred_Dul",22,3,"Fledged",7.33333333333333,"Color_Stress_Pred_Dul","Adult_278171877_17-Jun-19"
"142","P19N323","278172410","2019","Adult","F","17-Jun-19","TRES","Ithaca","Unit_4","95","3","ASY",19,NA,NA,NA,"","New life tag and PIT were put @midnight","Unit_4_95_2019","Light","Light",54,5,"Fledged",10.8,"Light_Light","Adult_278172410_17-Jun-19"
"143","P19N428","281128680","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_1","86",NA,"12",13,23.3,35,3,"Fledged","","Unit_1_86_2019","Color_Stress","Cont_Con",45,4,"Fledged",11.25,"Color_Stress_Cont_Con","Day_12_nestling_281128680_12"
"144","L19N008e",NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control","Day_6_nestling_Turkey_Hill_121_2019_L19N008e"
"145","P19N322","281128654","2019","Adult","F","17-Jun-19","TRES","Ithaca","Unit_1","79","1","SY",18.5,28.8,114,NA,"","","Unit_1_79_2019","","",70,5,"Fledged",14,"Control","Adult_281128654_17-Jun-19"
"146","P19N441","281128443","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_2","54",NA,"12",16.5,24.1,45,6,"Fledged","","Unit_2_54_2019","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con","Day_12_nestling_281128443_12"
"147","P19N497","278172334","2019","Nestling","Unknown","30-Jun-19","TRES","Ithaca","Unit_4","15",NA,"12",19.5,24.3,52,5,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_4_15_2019","Light","Light_Control",59.66,5,"Fledged",11.932,"Light_Light_Control","Day_12_nestling_278172334_12"
"148","P19NB7",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB7"
"149","L19N010c",NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","78",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control","Day_6_nestling_Unit_4_78_2019_L19N010c"
"150","P19N047","278172154","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","75","1","SY",20,28.1,116,NA,"","","Unit_2_75_2019","Color_Stress","Cont_Dul",74,6,"Fledged",12.3333333333333,"Color_Stress_Cont_Dul","Adult_278172154_29-May-19"
"151","P19N130","281128708","2019","Adult","M","06-Jun-19","TRES","Ithaca","Unit_1","306","1","AHY",20.5,28.3,117,NA,"","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_281128708_06-Jun-19"
"152","P19N188","281128718","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","35",NA,"12",19.5,24.7,45,5,"Died","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul","Day_12_nestling_281128718_12"
"153","P19N296","278172316","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_4","94",NA,"12",18.5,25.2,48,5,"Fledged","","Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control","Day_12_nestling_278172316_12"
"154","P19N379","281128656","2019","Adult","M","19-Jun-19","TRES","Ithaca","Unit_1","393","1","AHY",20.5,29.5,119,NA,"","RFID is new but number is not provided on data sheet","Unit_1_393_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_281128656_19-Jun-19"
"155","P19N505","281128779","2019","Nestling","Unknown","05-Jul-19","TRES","Ithaca","Unit_2","50",NA,"12",22.25,25.3,55,5,"Died","Fecal sample should be +100 and tube is mislabeled as -100. Dex expired March 2019","Unit_2_50_2019","","",65,5,"Fledged",13,"Control","Day_12_nestling_281128779_12"
"156","L19N012a",NA,"2019","Nestling",NA,"13-Jun-19","TRES","Ithaca","Unit_4","87",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_87_2019","Light","Light",71,5,"Fledged",14.2,"Light_Light","Day_6_nestling_Unit_4_87_2019_L19N012a"
"157","L19N019d",NA,"2019","Nestling",NA,"20-Jun-19","TRES","Ithaca","Unit_4","84",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_84_2019","Light","Light_Control",84.4,5,"Fledged",16.88,"Light_Light_Control","Day_6_nestling_Unit_4_84_2019_L19N019d"
"158","P19N055","272107750","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_1","365","1","ASY",21.25,28.1,115,NA,"","","Unit_1_365_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_272107750_29-May-19"
"159","P19N141","278172199","2019","Adult","M","07-Jun-19","TRES","Ithaca","Unit_2","101","1","AHY",19,28.9,121,NA,"","Jack-hammering occurred in unit 2 barn between 7:15 to 7:25.","Unit_2_101_2019","Color_Stress","Pred_Dul",52,5,"Fledged",10.4,"Color_Stress_Pred_Dul","Adult_278172199_07-Jun-19"
"160","P19N303","278172431","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Turkey_Hill","3",NA,"12",19.5,25.6,48.5,5,"Fledged","","Turkey_Hill_3_2019","Light","Light",65.25,5,"Fledged",13.05,"Light_Light","Day_12_nestling_278172431_12"
"161","P19N484","272106914","2019","Adult","M","26-Jun-19","TRES","Ithaca","Unit_2","37","1","AHY",21.5,28.1,123,NA,"","Dex injection for male expired in 3/2019","Unit_2_37_2019","","",50,4,"Fledged",12.5,"Control","Adult_272106914_26-Jun-19"
"162","P19N513","281128775","2019","Nestling","Unknown","07-Jul-19","TRES","Ithaca","Unit_2","112",NA,"15",19,NA,NA,4,"Died","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_112_2019",NA,NA,NA,NA,NA,NA,"Control","Day_15_nestling_281128775_15"
"163","L19N015b",NA,"2019","Nestling",NA,"15-Jun-19","TRES","Ithaca","Unit_4","93",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_93_2019","Light","Light",55.3,4,"Fledged",13.825,"Light_Light","Day_6_nestling_Unit_4_93_2019_L19N015b"
"164","L19N020b",NA,"2019","Nestling",NA,"24-Jun-19","TRES","Ithaca","Unit_4","15",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_15_2019","Light","Light_Control",59.66,5,"Fledged",11.932,"Light_Light_Control","Day_6_nestling_Unit_4_15_2019_L19N020b"
"165","P19N064","278172155","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_2","15","1","SY",21,28.4,115,NA,"","Band on left foot, RFID on right foot (placed loosely because right foot had pox). Double check on second capture.","Unit_2_15_2019","Color_Stress","Pred_Con",52,4,"Died",13,"Color_Stress_Pred_Con","Adult_278172155_30-May-19"
"166","P19N148","272107217","2019","Adult","F","08-Jun-19","TRES","Ithaca","Unit_2","116","3","ASY",20.75,29.2,120,NA,"","","Unit_2_116_2019","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con","Adult_272107217_08-Jun-19"
"167","P19N272","278172304","2019","Nestling","Unknown","15-Jun-19","TRES","Ithaca","Unit_2","94",NA,"12",14,22.7,31,4,"Died","","Unit_2_94_2019","Color_Stress","Pred_Con",73,6,"Died",12.1666666666667,"Color_Stress_Pred_Con","Day_12_nestling_278172304_12"
"168","P19N333","278172443","2019","Nestling","Unknown","17-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"12",22,25.9,55,6,"Fledged","","Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control","Day_12_nestling_278172443_12"
"169","L19N019b",NA,"2019","Nestling",NA,"20-Jun-19","TRES","Ithaca","Unit_4","84",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_84_2019","Light","Light_Control",84.4,5,"Fledged",16.88,"Light_Light_Control","Day_6_nestling_Unit_4_84_2019_L19N019b"
"170","P19N077","278172156","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_2","70","1","SY",21,28.3,115,NA,"","","Unit_2_70_2019","Color_Stress","Pred_Con",NA,NA,"Abandoned",NA,"Color_Stress_Pred_Con","Adult_278172156_31-May-19"
"171","P19N157","262125449","2019","Adult","M","09-Jun-19","TRES","Ithaca","Unit_1","105","1","AHY",21,27.9,122,NA,"","","Unit_1_105_2019","Color_Stress","Pred_Dul",65,5,"Fledged",13,"Color_Stress_Pred_Dul","Adult_262125449_09-Jun-19"
"172","P19N284","281128737","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_2","39",NA,"15",17.5,NA,NA,5,"Fledged","","Unit_2_39_2019","Color_Stress","Cont_Con",66,5,"Fledged",13.2,"Color_Stress_Cont_Con","Day_15_nestling_281128737_15"
"173","P19N361","278172452","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_4","78",NA,"12",24.5,26.1,57,5,"Fledged","","Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control","Day_12_nestling_278172452_12"
"174","P19N470","281128444","2019","Nestling","Unknown","25-Jun-19","TRES","Ithaca","Unit_2","54",NA,"15",16,NA,NA,6,"Fledged","","Unit_2_54_2019","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con","Day_15_nestling_281128444_15"
"175","P19N090","278172224","2019","Adult","F","02-Jun-19","TRES","Ithaca","Unit_1","47","2","SY",21,NA,NA,NA,"","","Unit_1_47_2019","Color_Stress","Cont_Con",66,5,"Died",13.2,"Color_Stress_Cont_Con","Adult_278172224_02-Jun-19"
"176","P19N165","263113914","2019","Adult","M","09-Jun-19","TRES","Ithaca","Unit_1","423","1","AHY",20.5,28.6,122,NA,"","2017 LIFETAG REMOVED LOST ANTENNA","Unit_1_423_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_263113914_09-Jun-19"
"177","P19N291","281128803","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_1","81",NA,"12",16.5,24.1,49,5,"Fledged","","Unit_1_81_2019","Color_Stress","Cont_Con",60,5,"Fledged",12,"Color_Stress_Cont_Con","Day_12_nestling_281128803_12"
"178","P19N376","278172462","2019","Nestling","Unknown","19-Jun-19","TRES","Ithaca","Unit_4","87",NA,"12",24,25.1,49,5,"Fledged","","Unit_4_87_2019","Light","Light",71,5,"Fledged",14.2,"Light_Light","Day_12_nestling_278172462_12"
"179","P19N413","281128509","2019","Nestling","Unknown","21-Jun-19","TRES","Ithaca","Unit_2","3",NA,"15",14.75,NA,NA,5,"Fledged","","Unit_2_3_2019","Color_Stress","Cont_Dul",60,5,"Fledged",12,"Color_Stress_Cont_Dul","Day_15_nestling_281128509_15"
"180","P19N477","281128533","2019","Nestling","Unknown","25-Jun-19","TRES","Ithaca","Unit_2","99",NA,"15",17,NA,NA,4,"Died","Fecal sample number was originally recorded 100 lower than it should have been.","Unit_2_99_2019","Color_Stress","Cont_Con",36,4,"Fledged",9,"Color_Stress_Cont_Con","Day_15_nestling_281128533_15"
"181","P19N097","156181153","2019","Adult","F","02-Jun-19","TRES","Ithaca","Unit_2","57","1","SY",23.25,28.2,111,NA,"","Different band numbers written on data sheet. On femal capture #1, band number was 156181158. Band # 156181153 is recorded in last year's data sheet.","Unit_2_57_2019","Color_Stress","Pred_Con",43,5,"Died",8.6,"Color_Stress_Pred_Con","Adult_156181153_02-Jun-19"
"182","P19N182","278172162","2019","Adult","F","10-Jun-19","TRES","Ithaca","Unit_2","34","2","SY",21,NA,NA,NA,"","","Unit_2_34_2019","Color_Stress","Cont_Dul",50,4,"Fledged",12.5,"Color_Stress_Cont_Dul","Adult_278172162_10-Jun-19"
"183","P19N225","278172257","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","306",NA,"12",19,25.3,52,6,"Fledged","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control","Day_12_nestling_278172257_12"
"184","P19N395","278172476","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_4","18",NA,"12",14.5,23.5,36,5,"Fledged","","Unit_4_18_2019","Light","Light",38,5,"Fledged",7.6,"Light_Light","Day_12_nestling_278172476_12"
"185","P19N488","281128768","2019","Nestling","Unknown","27-Jun-19","TRES","Ithaca","Unit_2","34",NA,"15",19.25,NA,NA,4,"Died","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_34_2019","Color_Stress","Cont_Dul",50,4,"Fledged",12.5,"Color_Stress_Cont_Dul","Day_15_nestling_281128768_15"
"186","P19NB10",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB10"
"187","P19N108","278172154","2019","Adult","F","03-Jun-19","TRES","Ithaca","Unit_2","75","2","SY",19,NA,NA,NA,"","","Unit_2_75_2019","Color_Stress","Cont_Dul",74,6,"Fledged",12.3333333333333,"Color_Stress_Cont_Dul","Adult_278172154_03-Jun-19"
"188","P19N198","272106974","2019","Adult","M","11-Jun-19","TRES","Ithaca","Unit_2","82","1","AHY",19,28.5,121,NA,"","","Unit_2_82_2019","Color_Stress","Cont_Con",73,6,"Died",12.1666666666667,"Color_Stress_Cont_Con","Adult_272106974_11-Jun-19"
"189","P19N232","278172264","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","421",NA,"12",22.5,24.5,52,3,"Fledged","","Unit_1_421_2019","","Control",NA,NA,"Fledged",NA,"Control","Day_12_nestling_278172264_12"
"190","P19N338","281128812","2019","Nestling","Unknown","17-Jun-19","TRES","Ithaca","Unit_2","75",NA,"12",9.25,22.1,24,6,"Died","","Unit_2_75_2019","Color_Stress","Cont_Dul",74,6,"Fledged",12.3333333333333,"Color_Stress_Cont_Dul","Day_12_nestling_281128812_12"
"191","P19N421","278172480","2019","Nestling","Unknown","21-Jun-19","TRES","Ithaca","Unit_4","12",NA,"12",17.5,24,35,3,"Fledged","","Unit_4_12_2019","Light","Light",20.74,3,"Fledged",6.91333333333333,"Light_Light","Day_12_nestling_278172480_12"
"192","P19N515","281128780","2019","Nestling","Unknown","08-Jul-19","TRES","Ithaca","Unit_2","50",NA,"15",16,NA,NA,3,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_50_2019","","",65,5,"Fledged",13,"Control","Day_15_nestling_281128780_15"
"193","P19N211","278172239","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_1","427","1","AHY",19,28.5,119,NA,"","","Unit_1_427_2019","","Control",NA,NA,"Died",NA,"Control","Adult_278172239_12-Jun-19"
